"Time (s) Brass","Position (m) Brass","Force (N) Brass","Speed (mm/min) Brass","Time (s) Orange Coupon","Position (m) Orange Coupon","Force (N) Orange Coupon","Speed (mm/min) Orange Coupon","Time (s) Black Coupon","Position (m) Black Coupon","Force (N) Black Coupon","Speed (mm/min) Black Coupon","Time (s) Blue Coupon","Position (m) Blue Coupon","Force (N) Blue Coupon","Speed (mm/min) Blue Coupon","Time (s) Clear Coupon","Position (m) Clear Coupon","Force (N) Clear Coupon","Speed (mm/min) Clear Coupon","Time (s) Long 1","Position (m) Long 1","Force (N) Long 1","Speed (mm/min) Long 1","Time (s) Long 2","Position (m) Long 2","Force (N) Long 2","Speed (mm/min) Long 2","Time (s) Short 1","Position (m) Short 1","Force (N) Short 1","Speed (mm/min) Short 1","Time (s) Short 2","Position (m) Short 2","Force (N) Short 2","Speed (mm/min) Short 2","Time (s) Polythylene 1","Position (m) Polythylene 1","Force (N) Polythylene 1","Speed (mm/min) Polythylene 1","Time (s) Polythylene 2","Position (m) Polythylene 2","Force (N) Polythylene 2","Speed (mm/min) Polythylene 2","Time (s) Polythylene 3","Position (m) Polythylene 3","Force (N) Polythylene 3","Speed (mm/min) Polythylene 3"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.800,-0.10459,-26,-122.14,53.800,-0.08266,-146,-95.39,53.800,-0.05695,-27,-51.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.000,-0.10501,-25,-119.51,54.000,-0.08301,-149,-103.05,54.000,-0.05713,-28,-55.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.200,-0.10539,-24,-115.58,54.200,-0.08335,-149,-114.83,54.200,-0.05734,-31,-58.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.400,-0.10576,-24,-112.33,54.400,-0.08374,-150,-127.95,54.400,-0.05752,-31,-57.37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.600,-0.10614,-24,-112.87,54.600,-0.08422,-152,-139.00,54.600,-0.05774,-33,-52.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.800,-0.10650,-24,-115.88,54.800,-0.08470,-150,-141.04,54.800,-0.05788,-30,-49.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.000,-0.10691,-25,-118.58,55.000,-0.08517,-149,-129.72,55.000,-0.05803,-28,-50.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.200,-0.10731,-26,-120.40,55.200,-0.08561,-148,-112.17,55.200,-0.05821,-30,-54.54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.400,-0.10771,-25,-119.89,55.400,-0.08591,-142,-99.90,55.400,-0.05842,-32,-53.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.600,-0.10812,-24,-117.67,55.600,-0.08621,-142,-97.34,55.600,-0.05859,-30,-52.10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.800,-0.10850,-25,-114.62,55.800,-0.08657,-145,-98.73,55.800,-0.05874,-29,-50.80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.000,-0.10887,-24,-113.28,56.000,-0.08689,-146,-97.68,56.000,-0.05894,-31,-51.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.200,-0.10925,-25,-112.49,56.200,-0.08720,-146,-98.86,56.200,-0.05909,-30,-53.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.400,-0.10964,-25,-111.22,56.400,-0.08753,-148,-103.46,56.400,-0.05926,-30,-54.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.600,-0.10998,-24,-111.51,56.600,-0.08790,-150,-103.82,56.600,-0.05948,-33,-56.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.800,-0.11036,-24,-116.61,56.800,-0.08826,-149,-99.42,56.800,-0.05963,-32,-55.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.000,-0.11076,-25,-122.07,57.000,-0.08855,-146,-94.88,57.000,-0.05984,-34,-56.19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.200,-0.11119,-26,-121.92,57.200,-0.08887,-147,-95.22,57.200,-0.06002,-33,-56.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.400,-0.11159,-26,-118.49,57.400,-0.08919,-147,-98.99,57.400,-0.06022,-34,-54.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.600,-0.11197,-25,-114.24,57.600,-0.08953,-148,-101.02,57.600,-0.06038,-33,-52.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.800,-0.11235,-25,-112.62,57.800,-0.08988,-149,-100.64,57.800,-0.06056,-32,-49.79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.000,-0.11271,-24,-114.20,58.000,-0.09020,-149,-99.82,58.000,-0.06073,-32,-48.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.200,-0.11310,-25,-117.56,58.200,-0.09052,-149,-101.43,58.200,-0.06087,-30,-48.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.400,-0.11351,-26,-121.15,58.400,-0.09088,-151,-102.13,58.400,-0.06105,-31,-49.62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.600,-0.11391,-26,-120.81,58.600,-0.09123,-152,-103.06,58.600,-0.06121,-31,-51.24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.800,-0.11432,-26,-118.59,58.800,-0.09154,-150,-103.15,58.800,-0.06138,-32,-51.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.000,-0.11470,-25,-116.21,59.000,-0.09192,-153,-103.69,59.000,-0.06156,-33,-51.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.200,-0.11509,-24,-114.84,59.200,-0.09225,-152,-104.44,59.200,-0.06171,-31,-49.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.400,-0.11547,-24,-116.77,59.400,-0.09259,-155,-103.62,59.400,-0.06190,-33,-46.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.600,-0.11585,-25,-117.60,59.600,-0.09296,-156,-103.02,59.600,-0.06202,-30,-46.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.800,-0.11627,-26,-116.08,59.800,-0.09329,-156,-100.01,59.800,-0.06218,-30,-49.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.000,-0.11664,-24,-113.98,60.000,-0.09361,-157,-97.56,60.000,-0.06238,-33,-51.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.200,-0.11700,-25,-114.33,60.200,-0.09394,-157,-96.86,60.200,-0.06253,-31,-50.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.400,-0.11740,-25,-116.11,60.400,-0.09426,-158,-96.20,60.400,-0.06270,-32,-48.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.600,-0.11779,-26,-116.74,60.600,-0.09458,-158,-94.89,60.600,-0.06286,-32,-52.51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.800,-0.11817,-24,-117.47,60.800,-0.09489,-159,-95.81,60.800,-0.06302,-32,-58.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.000,-0.11857,-26,-120.20,61.000,-0.09520,-160,-98.66,61.000,-0.06325,-36,-60.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.200,-0.11897,-26,-123.35,61.200,-0.09556,-164,-99.33,61.200,-0.06347,-36,-58.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.400,-0.11939,-26,-122.56,61.400,-0.09589,-164,-98.83,61.400,-0.06363,-34,-57.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.600,-0.11981,-26,-117.81,61.600,-0.09619,-164,-97.87,61.600,-0.06381,-33,-60.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.800,-0.12018,-23,-112.03,61.800,-0.09654,-167,-99.36,61.800,-0.06406,-37,-63.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.000,-0.12054,-22,-111.13,62.000,-0.09686,-168,-101.84,62.000,-0.06425,-35,-63.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.200,-0.12091,-22,-117.05,62.200,-0.09721,-169,-99.34,62.200,-0.06446,-35,-63.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.400,-0.12131,-24,-123.56,62.400,-0.09756,-171,-96.20,62.400,-0.06467,-35,-65.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.600,-0.12175,-25,-123.89,62.600,-0.09783,-169,-93.37,62.600,-0.06492,-36,-65.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.800,-0.12216,-24,-118.15,62.800,-0.09816,-172,-95.02,62.800,-0.06511,-34,-62.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.000,-0.12253,-22,-110.72,63.000,-0.09847,-173,-97.74,63.000,-0.06533,-33,-59.80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.200,-0.12290,-22,-105.16,63.200,-0.09882,-174,-98.73,63.200,-0.06551,-31,-58.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.400,-0.12323,-21,-106.58,63.400,-0.09913,-175,-100.54,63.400,-0.06572,-32,-54.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.600,-0.12356,-20,-113.56,63.600,-0.09948,-178,-100.57,63.600,-0.06588,-30,-50.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.800,-0.12400,-25,-120.82,63.800,-0.09982,-178,-101.33,63.800,-0.06604,-29,-45.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.000,-0.12441,-26,-120.96,64.000,-0.10014,-179,-101.17,64.000,-0.06620,-29,-47.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.200,-0.12481,-25,-116.37,64.200,-0.10050,-182,-101.08,64.200,-0.06632,-26,-54.15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.400,-0.12517,-23,-114.75,64.400,-0.10083,-182,-98.77,64.400,-0.06656,-31,-60.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.600,-0.12556,-23,-116.27,64.600,-0.10115,-182,-94.62,64.600,-0.06676,-33,-60.41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.800,-0.12595,-24,-119.15,64.800,-0.10146,-182,-91.00,64.800,-0.06696,-33,-53.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.000,-0.12635,-24,-119.41,65.000,-0.10176,-181,-90.91,65.000,-0.06712,-32,-48.15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.200,-0.12676,-24,-117.99,65.200,-0.10204,-179,-93.69,65.200,-0.06726,-30,-45.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.400,-0.12714,-24,-117.06,65.400,-0.10239,-182,-94.74,65.400,-0.06743,-30,-45.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.600,-0.12753,-23,-119.98,65.600,-0.10270,-181,-92.37,65.600,-0.06756,-29,-46.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.800,-0.12793,-24,-124.29,65.800,-0.10299,-178,-91.49,65.800,-0.06772,-30,-47.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.000,-0.12837,-26,-125.44,66.000,-0.10329,-176,-97.07,66.000,-0.06790,-32,-50.79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.200,-0.12878,-25,-122.15,66.200,-0.10363,-177,-102.65,66.200,-0.06804,-31,-54.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.400,-0.12918,-25,-119.71,66.400,-0.10400,-177,-101.21,66.400,-0.06826,-34,-60.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.600,-0.12956,-22,-119.99,66.600,-0.10433,-174,-96.71,66.600,-0.06845,-34,-64.22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.800,-0.12999,-25,-121.60,66.800,-0.10461,-169,-91.69,66.800,-0.06870,-37,-63.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.000,-0.13038,-23,-118.78,67.000,-0.10495,-170,-85.15,67.000,-0.06888,-35,-61.19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.200,-0.13080,-24,-111.45,67.200,-0.10521,-167,-81.81,67.200,-0.06909,-34,-58.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.400,-0.13112,-22,-107.42,67.400,-0.10544,-162,-84.97,67.400,-0.06929,-34,-57.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.600,-0.13147,-21,-106.50,67.600,-0.10577,-166,-95.94,67.600,-0.06948,-33,-53.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.800,-0.13185,-22,-105.35,67.800,-0.10610,-168,-101.08,67.800,-0.06965,-32,-51.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.000,-0.13220,-21,-97.20,68.000,-0.10647,-168,-95.30,68.000,-0.06979,-30,-53.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.200,-0.13250,-19,-91.64,68.200,-0.10676,-164,-88.86,68.200,-0.07000,-33,-55.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.400,-0.13276,-17,-97.47,68.400,-0.10701,-161,-85.43,68.400,-0.07018,-32,-55.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.600,-0.13312,-20,-107.96,68.600,-0.10733,-162,-86.62,68.600,-0.07037,-33,-52.90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.800,-0.13353,-24,-114.09,68.800,-0.10761,-160,-89.63,68.800,-0.07054,-32,-51.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.000,-0.13390,-25,-112.83,69.000,-0.10790,-160,-93.95,69.000,-0.07071,-31,-51.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.200,-0.13427,-24,-110.43,69.200,-0.10824,-162,-98.65,69.200,-0.07088,-31,-55.15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.400,-0.13464,-23,-109.07,69.400,-0.10858,-161,-98.81,69.400,-0.07106,-31,-57.62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.600,-0.13500,-23,-111.73,69.600,-0.10890,-159,-96.15,69.600,-0.07129,-34,-58.70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.800,-0.13535,-21,-116.27,69.800,-0.10921,-158,-96.02,69.800,-0.07145,-32,-57.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.000,-0.13579,-24,-118.04,70.000,-0.10952,-157,-93.93,70.000,-0.07166,-33,-56.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.200,-0.13617,-23,-115.13,70.200,-0.10987,-158,-87.39,70.200,-0.07183,-32,-56.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.400,-0.13654,-22,-111.13,70.400,-0.11012,-154,-84.50,70.400,-0.07204,-32,-54.68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.600,-0.13690,-22,-110.55,70.600,-0.11037,-152,-88.68,70.600,-0.07221,-32,-53.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.800,-0.13728,-23,-111.47,70.800,-0.11072,-156,-96.06,70.800,-0.07238,-30,-53.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.000,-0.13764,-22,-115.66,71.000,-0.11104,-157,-97.50,71.000,-0.07257,-32,-56.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.200,-0.13803,-23,-120.58,71.200,-0.11136,-156,-90.88,71.200,-0.07275,-31,-55.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.400,-0.13846,-26,-120.39,71.400,-0.11167,-154,-83.43,71.400,-0.07296,-33,-53.60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.600,-0.13887,-24,-115.96,71.600,-0.11191,-151,-81.13,71.600,-0.07310,-30,-52.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.800,-0.13921,-22,-113.10,71.800,-0.11217,-149,-82.39,71.800,-0.07329,-30,-54.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.000,-0.13960,-23,-113.57,72.000,-0.11249,-154,-84.89,72.000,-0.07348,-31,-57.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.200,-0.13999,-22,-110.27,72.200,-0.11274,-151,-85.21,72.200,-0.07367,-31,-54.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.400,-0.14036,-22,-105.64,72.400,-0.11304,-153,-86.61,72.400,-0.07386,-31,-53.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.600,-0.14066,-20,-106.36,72.600,-0.11333,-153,-90.99,72.600,-0.07400,-28,-55.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.800,-0.14104,-22,-112.70,72.800,-0.11363,-154,-92.87,72.800,-0.07422,-30,-59.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.000,-0.14143,-24,-119.36,73.000,-0.11396,-155,-93.76,73.000,-0.07442,-31,-60.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.200,-0.14184,-26,-119.92,73.200,-0.11426,-154,-93.98,73.200,-0.07464,-34,-57.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.400,-0.14225,-25,-117.13,73.400,-0.11458,-154,-94.62,73.400,-0.07480,-30,-56.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.600,-0.14263,-24,-112.66,73.600,-0.11490,-153,-94.52,73.600,-0.07499,-30,-57.15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.800,-0.14299,-22,-110.09,73.800,-0.11522,-153,-92.78,73.800,-0.07519,-31,-60.41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.000,-0.14335,-21,-109.70,74.000,-0.11551,-152,-93.60,74.000,-0.07540,-32,-60.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.200,-0.14373,-22,-110.74,74.200,-0.11582,-151,-97.47,74.200,-0.07561,-32,-61.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.400,-0.14408,-22,-112.55,74.400,-0.11617,-153,-99.47,74.400,-0.07580,-31,-63.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.600,-0.14447,-23,-114.42,74.600,-0.11651,-153,-96.40,74.600,-0.07602,-32,-64.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.800,-0.14486,-23,-116.36,74.800,-0.11681,-151,-90.22,74.800,-0.07626,-32,-61.22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.000,-0.14524,-24,-115.26,75.000,-0.11710,-150,-84.73,75.000,-0.07644,-31,-57.73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.200,-0.14564,-23,-112.09,75.200,-0.11738,-148,-83.57,75.200,-0.07661,-29,-58.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.400,-0.14599,-22,-108.81,75.400,-0.11763,-147,-86.48,75.400,-0.07683,-31,-61.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.600,-0.14635,-21,-107.66,75.600,-0.11795,-150,-91.94,75.600,-0.07703,-30,-59.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.800,-0.14671,-23,-107.31,75.800,-0.11826,-150,-94.48,75.800,-0.07724,-31,-55.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.000,-0.14707,-23,-106.20,76.000,-0.11859,-151,-93.44,76.000,-0.07738,-28,-51.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.200,-0.14741,-22,-107.06,76.200,-0.11888,-149,-92.59,76.200,-0.07758,-29,-50.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.400,-0.14777,-23,-109.28,76.400,-0.11920,-149,-89.57,76.400,-0.07772,-28,-52.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.600,-0.14815,-23,-109.76,76.600,-0.11951,-149,-87.92,76.600,-0.07791,-29,-54.70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.800,-0.14852,-23,-107.54,76.800,-0.11976,-147,-90.45,76.800,-0.07811,-31,-57.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.000,-0.14886,-22,-106.84,77.000,-0.12008,-149,-93.78,77.000,-0.07829,-31,-56.61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.200,-0.14922,-21,-108.52,77.200,-0.12043,-151,-91.76,77.200,-0.07849,-32,-57.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.400,-0.14959,-22,-110.93,77.400,-0.12071,-149,-87.73,77.400,-0.07866,-31,-59.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.600,-0.14996,-22,-113.25,77.600,-0.12096,-147,-90.52,77.600,-0.07889,-33,-58.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.800,-0.15034,-22,-114.24,77.800,-0.12130,-149,-94.67,77.800,-0.07907,-31,-56.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.000,-0.15073,-22,-113.13,78.000,-0.12165,-150,-91.51,78.000,-0.07926,-32,-52.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.200,-0.15110,-21,-110.62,78.200,-0.12192,-148,-87.16,78.200,-0.07942,-30,-52.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.400,-0.15146,-21,-109.92,78.400,-0.12218,-146,-89.32,78.400,-0.07959,-30,-51.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.600,-0.15183,-21,-111.63,78.600,-0.12252,-147,-95.09,78.600,-0.07978,-31,-52.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.800,-0.15221,-22,-114.39,78.800,-0.12284,-149,-96.96,78.800,-0.07993,-30,-50.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.000,-0.15259,-23,-115.38,79.000,-0.12316,-148,-96.21,79.000,-0.08012,-32,-50.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.200,-0.15299,-23,-114.40,79.200,-0.12347,-147,-96.37,79.200,-0.08027,-31,-51.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.400,-0.15336,-22,-114.30,79.400,-0.12380,-147,-96.59,79.400,-0.08044,-32,-52.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.600,-0.15373,-22,-116.07,79.600,-0.12412,-147,-96.14,79.600,-0.08064,-33,-55.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.800,-0.15413,-24,-117.03,79.800,-0.12445,-147,-96.27,79.800,-0.08081,-32,-55.59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.000,-0.15453,-24,-115.45,80.000,-0.12476,-147,-97.57,80.000,-0.08102,-35,-54.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.200,-0.15489,-22,-113.35,80.200,-0.12509,-147,-97.12,80.200,-0.08118,-32,-53.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.400,-0.15528,-22,-112.87,80.400,-0.12542,-147,-95.28,80.400,-0.08137,-33,-51.73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.600,-0.15565,-23,-112.62,80.600,-0.12572,-146,-95.03,80.600,-0.08154,-32,-50.80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.800,-0.15603,-22,-111.76,80.800,-0.12604,-146,-96.68,80.800,-0.08170,-32,-49.15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.000,-0.15640,-23,-114.55,81.000,-0.12638,-148,-98.39,81.000,-0.08187,-33,-53.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.200,-0.15677,-23,-118.45,81.200,-0.12669,-146,-96.46,81.200,-0.08202,-32,-57.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.400,-0.15720,-25,-122.30,81.400,-0.12703,-147,-96.02,81.400,-0.08228,-36,-60.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.600,-0.15759,-24,-122.97,81.600,-0.12732,-145,-98.64,81.600,-0.08245,-35,-58.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.800,-0.15802,-24,-121.86,81.800,-0.12768,-147,-99.60,81.800,-0.08265,-35,-57.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.000,-0.15841,-23,-119.70,82.000,-0.12802,-148,-98.33,82.000,-0.08282,-35,-58.77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.200,-0.15882,-23,-114.59,82.200,-0.12832,-145,-95.41,82.200,-0.08305,-37,-56.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.400,-0.15919,-22,-112.62,82.400,-0.12864,-146,-97.25,82.400,-0.08322,-35,-54.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.600,-0.15953,-21,-113.21,82.600,-0.12896,-146,-99.41,82.600,-0.08338,-33,-55.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.800,-0.15994,-24,-116.42,82.800,-0.12932,-147,-97.00,82.800,-0.08359,-35,-60.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.000,-0.16033,-24,-116.62,83.000,-0.12963,-146,-94.14,83.000,-0.08378,-34,-62.89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.200,-0.16072,-24,-116.34,83.200,-0.12991,-144,-94.93,83.200,-0.08402,-37,-62.39
