"Time (s) Brass","Position (m) Brass","Force (N) Brass","Speed (mm/min) Brass","Time (s) Black Coupon #1 {bad}","Position (m) Black Coupon #1 {bad}","Force (N) Black Coupon #1 {bad}","Speed (mm/min) Black Coupon #1 {bad}","Time (s) Clear Coupon","Position (m) Clear Coupon","Force (N) Clear Coupon","Speed (mm/min) Clear Coupon","Time (s) Blue Coupon","Position (m) Blue Coupon","Force (N) Blue Coupon","Speed (mm/min) Blue Coupon","Time (s) Orange Coupon","Position (m) Orange Coupon","Force (N) Orange Coupon","Speed (mm/min) Orange Coupon","Time (s) Short I-beam #1","Position (m) Short I-beam #1","Force (N) Short I-beam #1","Speed (mm/min) Short I-beam #1","Time (s) Short I-beam #2","Position (m) Short I-beam #2","Force (N) Short I-beam #2","Speed (mm/min) Short I-beam #2","Time (s) Long I-beam #1","Position (m) Long I-beam #1","Force (N) Long I-beam #1","Speed (mm/min) Long I-beam #1","Time (s) Long I-beam #2","Position (m) Long I-beam #2","Force (N) Long I-beam #2","Speed (mm/min) Long I-beam #2","Time (s) Polyethylene #1","Position (m) Polyethylene #1","Force (N) Polyethylene #1","Speed (mm/min) Polyethylene #1","Time (s) Polyethylene #2","Position (m) Polyethylene #2","Force (N) Polyethylene #2","Speed (mm/min) Polyethylene #2","Time (s) Polyethylene #3","Position (m) Polyethylene #3","Force (N) Polyethylene #3","Speed (mm/min) Polyethylene #3","Time (s) Black coupon #2","Position (m) Black coupon #2","Force (N) Black coupon #2","Speed (mm/min) Black coupon #2"
68.200,-0.87917,3355,-1629.67,,,,,68.200,0.00568,65,15.84,,,,,,,,,,,,,,,,,,,,,,,,,68.200,0.06820,156,55.88,68.200,0.08967,86,98.03,,,,,,,,
68.400,-0.79875,3311,-2557.74,,,,,68.400,0.00575,63,14.76,,,,,,,,,,,,,,,,,,,,,,,,,68.400,0.06840,158,58.26,68.400,0.08998,86,95.57,,,,,,,,
68.600,-0.90197,3366,-2625.14,,,,,68.600,0.00579,63,14.09,,,,,,,,,,,,,,,,,,,,,,,,,68.600,0.06860,160,56.58,68.600,0.09028,88,94.14,,,,,,,,
68.800,-0.85224,3340,-2620.87,,,,,68.800,0.00582,62,13.62,,,,,,,,,,,,,,,,,,,,,,,,,68.800,0.06878,158,53.39,68.800,0.09062,86,91.74,,,,,,,,
69.000,-0.87819,3354,-1415.67,,,,,69.000,0.00589,60,12.66,,,,,,,,,,,,,,,,,,,,,,,,,69.000,0.06895,156,52.02,69.000,0.09091,86,86.24,,,,,,,,
69.200,-0.87495,3353,-4069.78,,,,,69.200,0.00592,59,11.36,,,,,,,,,,,,,,,,,,,,,,,,,69.200,0.06912,159,53.38,69.200,0.09119,83,82.75,,,,,,,,
69.400,-0.90757,3369,-3837.69,,,,,69.400,0.00594,60,10.48,,,,,,,,,,,,,,,,,,,,,,,,,69.400,0.06930,160,55.32,69.400,0.09144,85,85.72,,,,,,,,
69.600,-0.90425,3368,640.58,,,,,69.600,0.00599,59,11.35,,,,,,,,,,,,,,,,,,,,,,,,,69.600,0.06949,160,57.97,69.600,0.09174,89,89.29,,,,,,,,
69.800,-0.92564,3379,6050.28,,,,,69.800,0.00602,59,11.79,,,,,,,,,,,,,,,,,,,,,,,,,69.800,0.06968,161,59.10,69.800,0.09206,88,90.08,,,,,,,,
70.000,-0.84407,3336,2539.05,,,,,70.000,0.00607,60,12.57,,,,,,,,,,,,,,,,,,,,,,,,,70.000,0.06990,164,57.37,70.000,0.09235,87,88.20,,,,,,,,
70.200,-0.84675,3338,-6019.81,,,,,70.200,0.00610,60,13.65,,,,,,,,,,,,,,,,,,,,,,,,,70.200,0.07008,161,52.74,70.200,0.09264,89,86.86,,,,,,,,
70.400,-0.93236,3382,-11727.69,,,,,70.400,0.00616,59,12.84,,,,,,,,,,,,,,,,,,,,,,,,,70.400,0.07024,161,48.54,70.400,0.09293,88,86.47,,,,,,,,
70.600,-0.95774,3394,-6891.80,,,,,70.600,0.00620,58,12.38,,,,,,,,,,,,,,,,,,,,,,,,,70.600,0.07039,159,49.27,70.600,0.09321,87,83.63,,,,,,,,
70.800,-0.96762,3399,-720.82,,,,,70.800,0.00623,59,12.11,,,,,,,,,,,,,,,,,,,,,,,,,70.800,0.07056,160,54.29,70.800,0.09350,87,79.71,,,,,,,,
71.000,-0.94932,3390,328.96,,,,,71.000,0.00628,60,13.02,,,,,,,,,,,,,,,,,,,,,,,,,71.000,0.07075,166,59.93,71.000,0.09374,88,78.14,,,,,,,,
71.200,-0.95520,3393,-1033.43,,,,,71.200,0.00632,61,13.39,,,,,,,,,,,,,,,,,,,,,,,,,71.200,0.07097,168,63.66,71.200,0.09400,88,80.30,,,,,,,,
71.400,-0.96359,3397,-1976.05,,,,,71.400,0.00637,59,14.10,,,,,,,,,,,,,,,,,,,,,,,,,71.400,0.07118,167,64.24,71.400,0.09428,91,83.80,,,,,,,,
71.600,-0.97403,3402,-3605.38,,,,,71.600,0.00641,60,15.27,,,,,,,,,,,,,,,,,,,,,,,,,71.600,0.07141,168,62.11,71.600,0.09457,90,84.93,,,,,,,,
71.800,-0.97002,3400,114.90,,,,,71.800,0.00647,59,15.20,,,,,,,,,,,,,,,,,,,,,,,,,71.800,0.07160,167,59.15,71.800,0.09485,89,83.98,,,,,,,,
72.000,-1.02088,3424,1748.06,,,,,72.000,0.00652,59,15.31,,,,,,,,,,,,,,,,,,,,,,,,,72.000,0.07179,166,55.04,72.000,0.09513,90,83.36,,,,,,,,
72.200,-0.91444,3373,637.99,,,,,72.200,0.00657,58,14.51,,,,,,,,,,,,,,,,,,,,,,,,,72.200,0.07198,166,53.91,72.200,0.09540,88,84.90,,,,,,,,
72.400,-0.99465,3412,-1305.87,,,,,72.400,0.00662,58,14.84,,,,,,,,,,,,,,,,,,,,,,,,,72.400,0.07213,162,54.95,72.400,0.09568,89,86.98,,,,,,,,
72.600,-0.98349,3407,-5109.41,,,,,72.600,0.00666,58,14.63,,,,,,,,,,,,,,,,,,,,,,,,,72.600,0.07234,168,57.49,72.600,0.09599,91,88.70,,,,,,,,
72.800,-0.97795,3404,-1155.52,,,,,72.800,0.00672,58,14.54,,,,,,,,,,,,,,,,,,,,,,,,,72.800,0.07253,168,60.68,72.800,0.09628,91,88.78,,,,,,,,
73.000,-1.03333,3430,-2595.14,,,,,73.000,0.00676,59,14.95,,,,,,,,,,,,,,,,,,,,,,,,,73.000,0.07273,169,63.28,73.000,0.09658,90,89.43,,,,,,,,
73.200,-0.96792,3399,-3739.97,,,,,73.200,0.00681,58,13.77,,,,,,,,,,,,,,,,,,,,,,,,,73.200,0.07295,170,65.43,73.200,0.09687,91,92.67,,,,,,,,
73.400,-1.04542,3436,-4584.81,,,,,73.400,0.00687,56,13.00,,,,,,,,,,,,,,,,,,,,,,,,,73.400,0.07318,172,65.37,73.400,0.09719,91,97.14,,,,,,,,
73.600,-1.04065,3434,-5849.58,,,,,73.600,0.00689,57,13.54,,,,,,,,,,,,,,,,,,,,,,,,,73.600,0.07338,170,64.38,73.600,0.09752,94,101.36,,,,,,,,
73.800,-1.05229,3439,-3228.73,,,,,73.800,0.00694,58,14.33,,,,,,,,,,,,,,,,,,,,,,,,,73.800,0.07360,170,64.70,73.800,0.09787,93,102.86,,,,,,,,
74.000,-1.07804,3450,-2964.14,,,,,74.000,0.00701,57,14.72,,,,,,,,,,,,,,,,,,,,,,,,,74.000,0.07382,171,63.85,74.000,0.09822,91,103.00,,,,,,,,
74.200,-1.07261,3448,-1743.36,,,,,74.200,0.00704,58,12.91,,,,,,,,,,,,,,,,,,,,,,,,,74.200,0.07404,173,61.29,74.200,0.09855,92,107.75,,,,,,,,
74.400,-1.07962,3451,-1489.41,,,,,74.400,0.00709,57,12.36,,,,,,,,,,,,,,,,,,,,,,,,,74.400,0.07422,167,60.33,74.400,0.09890,95,113.35,,,,,,,,
74.600,-1.08558,3454,-1709.11,,,,,74.600,0.00712,58,12.73,,,,,,,,,,,,,,,,,,,,,,,,,74.600,0.07442,168,64.53,74.600,0.09934,92,114.67,,,,,,,,
74.800,-1.09486,3458,-1970.16,,,,,74.800,0.00717,57,12.68,,,,,,,,,,,,,,,,,,,,,,,,,74.800,0.07464,171,71.25,74.800,0.09970,92,107.97,,,,,,,,
75.000,-1.09155,3456,-2532.77,,,,,75.000,0.00721,57,12.81,,,,,,,,,,,,,,,,,,,,,,,,,75.000,0.07491,174,73.96,75.000,0.10005,90,97.85,,,,,,,,
75.200,-1.11305,3466,-2399.22,,,,,75.200,0.00725,56,12.36,,,,,,,,,,,,,,,,,,,,,,,,,75.200,0.07516,169,71.63,75.200,0.10035,88,92.51,,,,,,,,
75.400,-1.11804,3468,-1907.64,,,,,75.400,0.00729,57,12.49,,,,,,,,,,,,,,,,,,,,,,,,,75.400,0.07539,169,66.63,75.400,0.10064,87,90.38,,,,,,,,
75.600,-1.11635,3467,-3047.44,,,,,75.600,0.00734,58,13.00,,,,,,,,,,,,,,,,,,,,,,,,,75.600,0.07560,167,60.00,75.600,0.10095,87,90.05,,,,,,,,
75.800,-1.12640,3472,-3359.04,,,,,75.800,0.00738,59,14.49,,,,,,,,,,,,,,,,,,,,,,,,,75.800,0.07580,165,53.24,75.800,0.10126,89,88.16,,,,,,,,
76.000,-1.16564,3488,-3575.86,,,,,76.000,0.00743,58,15.33,,,,,,,,,,,,,,,,,,,,,,,,,76.000,0.07594,158,50.60,76.000,0.10154,87,84.31,,,,,,,,
76.200,-1.13593,3476,-1704.98,,,,,76.200,0.00749,57,14.91,,,,,,,,,,,,,,,,,,,,,,,,,76.200,0.07611,159,52.53,76.200,0.10182,87,80.66,,,,,,,,
76.400,-1.17833,3494,299.21,,,,,76.400,0.00753,57,12.66,,,,,,,,,,,,,,,,,,,,,,,,,76.400,0.07630,163,53.80,76.400,0.10207,87,76.42,,,,,,,,
76.600,-1.14780,3481,1021.00,,,,,76.600,0.00757,57,10.93,,,,,,,,,,,,,,,,,,,,,,,,,76.600,0.07649,164,50.04,76.600,0.10233,83,71.52,,,,,,,,
76.800,-1.14778,3481,3109.48,,,,,76.800,0.00760,57,10.30,,,,,,,,,,,,,,,,,,,,,,,,,76.800,0.07664,158,44.79,76.800,0.10255,84,67.45,,,,,,,,
77.000,-1.14607,3480,-1703.81,,,,,77.000,0.00764,57,10.97,,,,,,,,,,,,,,,,,,,,,,,,,77.000,0.07678,156,41.76,77.000,0.10277,86,65.80,,,,,,,,
77.200,-1.11788,3468,-3367.68,,,,,77.200,0.00767,58,12.40,,,,,,,,,,,,,,,,,,,,,,,,,77.200,0.07691,155,41.81,77.200,0.10299,84,66.53,,,,,,,,
77.400,-1.21178,3507,1761.42,,,,,77.400,0.00772,57,11.89,,,,,,,,,,,,,,,,,,,,,,,,,77.400,0.07705,156,44.21,77.400,0.10322,87,66.38,,,,,,,,
77.600,-1.14942,3482,522.06,,,,,77.600,0.00777,56,10.70,,,,,,,,,,,,,,,,,,,,,,,,,77.600,0.07720,156,47.48,77.600,0.10344,85,62.96,,,,,,,,
77.800,-1.07930,3451,-4343.17,,,,,77.800,0.00778,58,8.98,,,,,,,,,,,,,,,,,,,,,,,,,77.800,0.07737,160,50.28,77.800,0.10365,83,58.80,,,,,,,,
78.000,-1.23992,3519,-12278.24,,,,,78.000,0.00782,58,9.81,,,,,,,,,,,,,,,,,,,,,,,,,78.000,0.07754,158,52.61,78.000,0.10382,84,55.84,,,,,,,,
78.200,-1.20814,3506,-10867.12,,,,,78.200,0.00784,59,11.99,,,,,,,,,,,,,,,,,,,,,,,,,78.200,0.07772,160,55.26,78.200,0.10402,84,54.78,,,,,,,,
78.400,-1.26614,3529,-5132.55,,,,,78.400,0.00790,58,13.48,,,,,,,,,,,,,,,,,,,,,,,,,78.400,0.07791,161,60.29,78.400,0.10419,86,52.10,,,,,,,,
78.600,-1.27042,3531,-3234.03,,,,,78.600,0.00794,57,13.09,,,,,,,,,,,,,,,,,,,,,,,,,78.600,0.07811,159,64.86,78.600,0.10437,80,42.56,,,,,,,,
78.800,-1.28030,3534,1633.30,,,,,78.800,0.00799,56,11.66,,,,,,,,,,,,,,,,,,,,,,,,,78.800,0.07835,163,66.38,78.800,0.10450,71,29.36,,,,,,,,
79.000,-1.25867,3526,-241.75,,,,,79.000,0.00802,57,11.21,,,,,,,,,,,,,,,,,,,,,,,,,79.000,0.07857,161,62.33,79.000,0.10455,68,19.90,,,,,,,,
79.200,-1.24523,3521,-5005.02,,,,,79.200,0.00806,57,10.69,,,,,,,,,,,,,,,,,,,,,,,,,79.200,0.07878,157,56.26,79.200,0.10459,69,20.75,,,,,,,,
79.400,-1.31032,3546,-7677.78,,,,,79.400,0.00810,59,12.14,,,,,,,,,,,,,,,,,,,,,,,,,79.400,0.07893,153,54.25,79.400,0.10468,77,31.19,,,,,,,,
79.600,-1.32874,3553,-2976.85,,,,,79.600,0.00813,60,13.58,,,,,,,,,,,,,,,,,,,,,,,,,79.600,0.07912,154,57.57,79.600,0.10479,86,47.60,,,,,,,,
79.800,-1.32871,3553,-381.00,,,,,79.800,0.00820,59,13.92,,,,,,,,,,,,,,,,,,,,,,,,,79.800,0.07931,159,63.04,79.800,0.10498,93,66.88,,,,,,,,
80.000,-1.28638,3537,727.34,,,,,80.000,0.00823,59,13.74,,,,,,,,,,,,,,,,,,,,,,,,,80.000,0.07954,157,66.78,80.000,0.10524,99,84.40,,,,,,,,
80.200,-1.36031,3565,-1846.55,,,,,80.200,0.00827,59,13.08,,,,,,,,,,,,,,,,,,,,,,,,,80.200,0.07976,157,67.00,80.200,0.10556,98,95.77,,,,,,,,
80.400,-1.28260,3535,-5000.70,,,,,80.400,0.00833,58,12.82,,,,,,,,,,,,,,,,,,,,,,,,,80.400,0.08000,156,64.96,80.400,0.10590,97,100.66,,,,,,,,
80.600,-1.36942,3568,-6075.69,,,,,80.600,0.00836,58,11.85,,,,,,,,,,,,,,,,,,,,,,,,,80.600,0.08020,155,63.90,80.600,0.10624,96,102.82,,,,,,,,
80.800,-1.37728,3571,-4116.78,,,,,80.800,0.00840,58,10.44,,,,,,,,,,,,,,,,,,,,,,,,,80.800,0.08041,154,64.81,80.800,0.10658,95,103.67,,,,,,,,
81.000,-1.38714,3575,-446.36,,,,,81.000,0.00844,59,11.17,,,,,,,,,,,,,,,,,,,,,,,,,81.000,0.08063,153,67.40,81.000,0.10694,94,103.45,,,,,,,,
81.200,-1.34721,3560,-2185.00,,,,,81.200,0.00846,59,12.69,,,,,,,,,,,,,,,,,,,,,,,,,81.200,0.08086,153,69.52,81.200,0.10727,92,101.04,,,,,,,,
81.400,-1.40841,3582,-4089.17,,,,,81.400,0.00852,59,14.53,,,,,,,,,,,,,,,,,,,,,,,,,81.400,0.08109,155,70.14,81.400,0.10761,91,98.11,,,,,,,,
81.600,-1.39971,3579,-2359.75,,,,,81.600,0.00857,59,15.48,,,,,,,,,,,,,,,,,,,,,,,,,81.600,0.08134,153,69.92,81.600,0.10792,91,97.24,,,,,,,,
81.800,-1.41643,3585,64.19,,,,,81.800,0.00862,59,14.14,,,,,,,,,,,,,,,,,,,,,,,,,81.800,0.08156,151,70.37,81.800,0.10825,90,96.63,,,,,,,,
82.000,-1.38639,3574,-1035.04,,,,,82.000,0.00867,59,12.18,,,,,,,,,,,,,,,,,,,,,,,,,82.000,0.08180,154,70.83,82.000,0.10858,89,96.63,,,,,,,,
82.200,-1.42045,3587,-4299.05,,,,,82.200,0.00870,59,12.48,,,,,,,,,,,,,,,,,,,,,,,,,82.200,0.08204,152,70.69,82.200,0.10889,91,97.70,,,,,,,,
82.400,-1.41639,3585,-6103.55,,,,,82.400,0.00873,60,13.56,,,,,,,,,,,,,,,,,,,,,,,,,82.400,0.08227,150,70.60,82.400,0.10922,92,99.20,,,,,,,,
82.600,-1.47241,3605,-5158.22,,,,,82.600,0.00881,58,13.67,,,,,,,,,,,,,,,,,,,,,,,,,82.600,0.08250,150,70.84,82.600,0.10957,91,100.37,,,,,,,,
82.800,-1.45650,3599,-3317.95,,,,,82.800,0.00884,59,13.31,,,,,,,,,,,,,,,,,,,,,,,,,82.800,0.08275,151,70.26,82.800,0.10988,91,100.66,,,,,,,,
83.000,-1.48351,3609,-1171.17,,,,,83.000,0.00887,59,13.17,,,,,,,,,,,,,,,,,,,,,,,,,83.000,0.08298,149,69.79,83.000,0.11023,91,100.81,,,,,,,,
83.200,-1.47166,3605,-2400.06,,,,,83.200,0.00893,59,15.19,,,,,,,,,,,,,,,,,,,,,,,,,83.200,0.08320,150,70.41,83.200,0.11057,91,101.75,,,,,,,,
83.400,-1.48068,3608,-3932.23,,,,,83.400,0.00897,62,16.89,,,,,,,,,,,,,,,,,,,,,,,,,83.400,0.08345,150,71.11,83.400,0.11090,91,103.15,,,,,,,,
83.600,-1.50733,3617,-4035.22,,,,,83.600,0.00904,61,17.28,,,,,,,,,,,,,,,,,,,,,,,,,83.600,0.08369,149,69.86,83.600,0.11125,92,106.80,,,,,,,,
83.800,-1.52648,3624,1049.02,,,,,83.800,0.00910,60,17.44,,,,,,,,,,,,,,,,,,,,,,,,,83.800,0.08391,149,67.81,83.800,0.11161,92,107.61,,,,,,,,
84.000,-1.50656,3617,3340.80,,,,,84.000,0.00915,60,16.36,,,,,,,,,,,,,,,,,,,,,,,,,84.000,0.08414,146,67.38,84.000,0.11199,91,104.28,,,,,,,,
84.200,-1.46047,3601,504.41,,,,,84.200,0.00921,58,14.52,,,,,,,,,,,,,,,,,,,,,,,,,84.200,0.08436,147,68.52,84.200,0.11231,90,99.33,,,,,,,,
84.400,-1.50653,3617,-3753.30,,,,,84.400,0.00926,58,13.10,,,,,,,,,,,,,,,,,,,,,,,,,84.400,0.08459,147,69.43,84.400,0.11264,89,96.56,,,,,,,,
84.600,-1.51642,3620,-3966.88,,,,,84.600,0.00928,59,12.91,,,,,,,,,,,,,,,,,,,,,,,,,84.600,0.08483,148,69.50,84.600,0.11295,92,96.45,,,,,,,,
84.800,-1.52567,3623,4443.10,,,,,84.800,0.00934,58,13.97,,,,,,,,,,,,,,,,,,,,,,,,,84.800,0.08505,146,68.46,84.800,0.11328,90,94.45,,,,,,,,
85.000,-1.52066,3622,2143.56,,,,,85.000,0.00939,57,14.00,,,,,,,,,,,,,,,,,,,,,,,,,85.000,0.08528,147,68.67,85.000,0.11360,88,91.23,,,,,,,,
85.200,-1.41343,3584,-1907.75,,,,,85.200,0.00943,58,13.81,,,,,,,,,,,,,,,,,,,,,,,,,85.200,0.08551,148,69.34,85.200,0.11388,89,85.40,,,,,,,,
85.400,-1.58579,3643,-8442.72,,,,,85.400,0.00947,59,13.91,,,,,,,,,,,,,,,,,,,,,,,,,85.400,0.08575,149,68.11,85.400,0.11417,87,79.93,,,,,,,,
85.600,-1.49869,3614,-8696.14,,,,,85.600,0.00953,58,14.61,,,,,,,,,,,,,,,,,,,,,,,,,85.600,0.08597,146,65.66,85.600,0.11441,87,75.72,,,,,,,,
85.800,-1.60425,3649,-2737.27,,,,,85.800,0.00957,58,14.66,,,,,,,,,,,,,,,,,,,,,,,,,85.800,0.08618,144,63.74,85.800,0.11467,87,73.63,,,,,,,,
86.000,-1.56889,3638,-4138.30,,,,,86.000,0.00963,57,13.60,,,,,,,,,,,,,,,,,,,,,,,,,86.000,0.08639,146,63.41,86.000,0.11491,88,71.66,,,,,,,,
86.200,-1.57034,3638,-407.53,,,,,86.200,0.00967,57,12.28,,,,,,,,,,,,,,,,,,,,,,,,,86.200,0.08660,145,63.60,86.200,0.11515,86,67.49,,,,,,,,
86.400,-1.61537,3653,-3568.02,,,,,86.400,0.00970,58,12.21,,,,,,,,,,,,,,,,,,,,,,,,,86.400,0.08681,145,63.66,86.400,0.11536,87,63.02,,,,,,,,
86.600,-1.56592,3637,-4012.58,,,,,86.600,0.00974,60,13.73,,,,,,,,,,,,,,,,,,,,,,,,,86.600,0.08703,146,63.40,86.600,0.11556,87,59.92,,,,,,,,
86.800,-1.64467,3662,-3288.41,,,,,86.800,0.00980,59,14.77,,,,,,,,,,,,,,,,,,,,,,,,,86.800,0.08724,146,63.48,86.800,0.11576,85,59.75,,,,,,,,
87.000,-1.62129,3655,-3216.31,,,,,87.000,0.00984,59,14.79,,,,,,,,,,,,,,,,,,,,,,,,,87.000,0.08745,144,63.65,87.000,0.11595,86,60.22,,,,,,,,
87.200,-1.62577,3656,-408.21,,,,,87.200,0.00989,59,15.16,,,,,,,,,,,,,,,,,,,,,,,,,87.200,0.08767,145,64.15,87.200,0.11616,87,60.44,,,,,,,,
87.400,-1.64915,3664,-2266.04,,,,,87.400,0.00994,60,16.35,,,,,,,,,,,,,,,,,,,,,,,,,87.400,0.08788,146,66.02,87.400,0.11636,89,59.24,,,,,,,,
87.600,-1.62498,3656,-2611.72,,,,,87.600,0.01000,60,15.75,,,,,,,,,,,,,,,,,,,,,,,,,87.600,0.08809,146,71.50,87.600,0.11656,88,58.77,,,,,,,,
87.800,-1.66741,3670,-3.02,,,,,87.800,0.01006,60,14.92,,,,,,,,,,,,,,,,,,,,,,,,,87.800,0.08834,148,76.91,87.800,0.11674,89,60.45,,,,,,,,
88.000,-1.65974,3667,2426.27,,,,,88.000,0.01009,60,13.83,,,,,,,,,,,,,,,,,,,,,,,,,88.000,0.08863,151,76.75,88.000,0.11696,88,63.08,,,,,,,,
88.200,-1.61444,3653,866.02,,,,,88.200,0.01015,59,13.89,,,,,,,,,,,,,,,,,,,,,,,,,88.200,0.08888,147,70.37,88.200,0.11717,91,65.91,,,,,,,,
88.400,-1.62942,3657,-2839.42,,,,,88.400,0.01019,59,13.69,,,,,,,,,,,,,,,,,,,,,,,,,88.400,0.08909,144,61.00,88.400,0.11739,91,69.41,,,,,,,,
88.600,-1.68041,3674,-5906.79,,,,,88.600,0.01024,58,13.42,,,,,,,,,,,,,,,,,,,,,,,,,88.600,0.08929,141,52.61,88.600,0.11763,91,76.39,,,,,,,,
88.800,-1.65056,3664,-6239.00,,,,,88.800,0.01028,60,14.65,,,,,,,,,,,,,,,,,,,,,,,,,88.800,0.08944,138,48.32,88.800,0.11789,94,86.68,,,,,,,,
89.000,-1.71143,3683,-4867.85,,,,,89.000,0.01033,60,15.65,,,,,,,,,,,,,,,,,,,,,,,,,89.000,0.08958,136,50.31,89.000,0.11820,95,97.07,,,,,,,,
89.200,-1.72318,3687,-3472.46,,,,,89.200,0.01039,59,16.95,,,,,,,,,,,,,,,,,,,,,,,,,89.200,0.08976,141,56.90,89.200,0.11855,93,105.41,,,,,,,,
89.400,-1.70515,3681,-1766.86,,,,,89.400,0.01044,60,17.67,,,,,,,,,,,,,,,,,,,,,,,,,89.400,0.08997,145,62.84,89.400,0.11891,94,111.83,,,,,,,,
89.600,-1.72629,3688,-1333.24,,,,,89.600,0.01051,59,18.63,,,,,,,,,,,,,,,,,,,,,,,,,89.600,0.09019,145,65.36,89.600,0.11929,95,117.44,,,,,,,,
89.800,-1.74366,3693,-818.81,,,,,89.800,0.01057,60,18.42,,,,,,,,,,,,,,,,,,,,,,,,,89.800,0.09041,147,65.02,89.800,0.11970,95,123.87,,,,,,,,
90.000,-1.71134,3683,3121.49,,,,,90.000,0.01063,60,18.19,,,,,,,,,,,,,,,,,,,,,,,,,90.000,0.09063,144,63.62,90.000,0.12011,93,128.01,,,,,,,,
90.200,-1.73648,3691,9228.72,,,,,90.200,0.01068,62,19.50,,,,,,,,,,,,,,,,,,,,,,,,,90.200,0.09083,143,63.19,90.200,0.12057,93,128.16,,,,,,,,
90.400,-1.67103,3671,1449.79,,,,,90.400,0.01076,61,19.91,,,,,,,,,,,,,,,,,,,,,,,,,90.400,0.09104,144,62.57,90.400,0.12098,92,122.66,,,,,,,,
90.600,-1.59938,3648,-9130.82,,,,,90.600,0.01084,59,19.00,,,,,,,,,,,,,,,,,,,,,,,,,90.600,0.09126,146,59.29,90.600,0.12139,89,120.32,,,,,,,,
90.800,-1.81944,3716,-13306.93,,,,,90.800,0.01088,59,17.55,,,,,,,,,,,,,,,,,,,,,,,,,90.800,0.09145,141,52.07,90.800,0.12174,92,121.65,,,,,,,,
91.000,-1.77070,3701,-5164.38,,,,,91.000,0.01094,58,17.15,,,,,,,,,,,,,,,,,,,,,,,,,91.000,0.09161,137,47.69,91.000,0.12221,90,122.17,,,,,,,,
91.200,-1.76586,3700,3162.05,,,,,91.200,0.01100,58,16.87,,,,,,,,,,,,,,,,,,,,,,,,,91.200,0.09174,137,50.45,91.200,0.12259,92,118.76,,,,,,,,
91.400,-1.75625,3697,-3494.42,,,,,91.400,0.01105,58,15.32,,,,,,,,,,,,,,,,,,,,,,,,,91.400,0.09193,141,58.78,91.400,0.12298,90,113.27,,,,,,,,
91.600,-1.77064,3701,-6608.47,,,,,91.600,0.01111,58,14.58,,,,,,,,,,,,,,,,,,,,,,,,,91.600,0.09214,145,65.96,91.600,0.12335,89,114.75,,,,,,,,
91.800,-1.83580,3721,-1988.59,,,,,91.800,0.01115,59,15.01,,,,,,,,,,,,,,,,,,,,,,,,,91.800,0.09238,145,69.77,91.800,0.12372,87,117.16,,,,,,,,
92.000,-1.81848,3716,1374.11,,,,,92.000,0.01120,59,15.55,,,,,,,,,,,,,,,,,,,,,,,,,92.000,0.09260,146,71.91,92.000,0.12415,87,119.61,,,,,,,,
92.200,-1.74819,3695,1234.53,,,,,92.200,0.01126,59,16.65,,,,,,,,,,,,,,,,,,,,,,,,,92.200,0.09286,146,71.46,92.200,0.12453,89,120.04,,,,,,,,
92.400,-1.83078,3719,-3061.92,,,,,92.400,0.01131,60,17.26,,,,,,,,,,,,,,,,,,,,,,,,,92.400,0.09310,145,68.46,92.400,0.12493,88,122.37,,,,,,,,
92.600,-1.79881,3710,-509.95,,,,,92.600,0.01137,59,17.28,,,,,,,,,,,,,,,,,,,,,,,,,92.600,0.09332,144,64.43,92.600,0.12534,90,127.44,,,,,,,,
92.800,-1.82909,3719,363.10,,,,,92.800,0.01143,58,16.98,,,,,,,,,,,,,,,,,,,,,,,,,92.800,0.09352,140,63.35,92.800,0.12578,90,134.85,,,,,,,,
93.000,-1.76007,3698,-6301.19,,,,,93.000,0.01148,58,16.02,,,,,,,,,,,,,,,,,,,,,,,,,93.000,0.09373,141,65.94,93.000,0.12622,89,139.54,,,,,,,,
93.200,-1.86226,3728,-2012.17,,,,,93.200,0.01154,58,16.12,,,,,,,,,,,,,,,,,,,,,,,,,93.200,0.09395,144,69.17,93.200,0.12674,86,138.57,,,,,,,,
93.400,-1.89167,3737,6708.22,,,,,93.400,0.01158,59,15.64,,,,,,,,,,,,,,,,,,,,,,,,,93.400,0.09420,145,69.81,93.400,0.12717,88,134.40,,,,,,,,
93.600,-1.73774,3691,5550.82,,,,,93.600,0.01165,59,16.73,,,,,,,,,,,,,,,,,,,,,,,,,93.600,0.09443,142,68.28,93.600,0.12761,88,135.56,,,,,,,,
93.800,-1.75043,3695,-8031.32,,,,,93.800,0.01168,59,18.41,,,,,,,,,,,,,,,,,,,,,,,,,93.800,0.09465,143,65.11,93.800,0.12804,90,143.67,,,,,,,,
94.000,-1.89248,3737,-14247.29,,,,,94.000,0.01177,57,17.89,,,,,,,,,,,,,,,,,,,,,,,,,94.000,0.09487,143,58.29,94.000,0.12858,87,144.35,,,,,,,,
94.200,-1.89755,3738,929.44,,,,,94.200,0.01183,56,16.23,,,,,,,,,,,,,,,,,,,,,,,,,94.200,0.09506,141,46.28,94.200,0.12907,83,141.64,,,,,,,,
94.400,-1.87556,3732,5307.31,,,,,94.400,0.01186,57,13.38,,,,,,,,,,,,,,,,,,,,,,,,,94.400,0.09518,129,36.39,94.400,0.12947,86,136.35,,,,,,,,
