"Time (s) Brass","Position (m) Brass","Force (N) Brass","Speed (mm/min) Brass","Time (s) Black Coupon #1 {bad}","Position (m) Black Coupon #1 {bad}","Force (N) Black Coupon #1 {bad}","Speed (mm/min) Black Coupon #1 {bad}","Time (s) Clear Coupon","Position (m) Clear Coupon","Force (N) Clear Coupon","Speed (mm/min) Clear Coupon","Time (s) Blue Coupon","Position (m) Blue Coupon","Force (N) Blue Coupon","Speed (mm/min) Blue Coupon","Time (s) Orange Coupon","Position (m) Orange Coupon","Force (N) Orange Coupon","Speed (mm/min) Orange Coupon","Time (s) Short I-beam #1","Position (m) Short I-beam #1","Force (N) Short I-beam #1","Speed (mm/min) Short I-beam #1","Time (s) Short I-beam #2","Position (m) Short I-beam #2","Force (N) Short I-beam #2","Speed (mm/min) Short I-beam #2","Time (s) Long I-beam #1","Position (m) Long I-beam #1","Force (N) Long I-beam #1","Speed (mm/min) Long I-beam #1","Time (s) Long I-beam #2","Position (m) Long I-beam #2","Force (N) Long I-beam #2","Speed (mm/min) Long I-beam #2","Time (s) Polyethylene #1","Position (m) Polyethylene #1","Force (N) Polyethylene #1","Speed (mm/min) Polyethylene #1","Time (s) Polyethylene #2","Position (m) Polyethylene #2","Force (N) Polyethylene #2","Speed (mm/min) Polyethylene #2","Time (s) Polyethylene #3","Position (m) Polyethylene #3","Force (N) Polyethylene #3","Speed (mm/min) Polyethylene #3","Time (s) Black coupon #2","Position (m) Black coupon #2","Force (N) Black coupon #2","Speed (mm/min) Black coupon #2"
4.600,-0.00273,1074,-18.39,4.600,-2.96806E-4,48,-10.82,4.600,-6.12596E-6,0,1.23,4.600,4.01704E-6,1,-0.60,4.600,2.88615E-4,11,-5.50,4.600,-0.00225,258,2.66,4.600,0.00000,0,1.22,4.600,-0.00203,174,-5.07,4.600,-0.00155,92,-28.95,4.600,0.00172,-2,44.67,4.600,0.00102,203,63.58,4.600,0.00525,-1,32.08,,,,
4.800,-0.00277,1164,-5.82,4.800,-3.24367E-4,51,-11.13,4.800,1.22785E-5,0,1.22,4.800,-1.41752E-5,2,-2.42,4.800,1.94220E-4,19,-20.55,4.800,-0.00224,272,4.78,4.800,-1.83513E-5,1,0.31,4.800,-0.00206,182,-3.41,4.800,-0.00160,99,-24.24,4.800,0.00185,-2,42.73,4.800,0.00121,201,66.92,4.800,0.00561,-1,-93.92,,,,
5.000,-0.00276,1231,10.98,5.000,-3.50957E-4,54,-11.72,5.000,1.84311E-5,-1,-3.18,5.000,-2.62594E-5,3,-1.82,5.000,1.02104E-4,28,-27.95,5.000,-0.00222,284,6.56,5.000,0.00000,0,-1.22,5.000,-0.00206,185,-0.99,5.000,-0.00169,109,-26.68,5.000,0.00200,-2,41.44,5.000,0.00145,201,70.15,5.000,0.00436,81,-154.89,,,,
5.200,-0.00271,1297,24.66,5.200,-4.02733E-4,59,-12.59,5.200,-1.78051E-7,0,-10.49,5.200,-2.62594E-5,3,-0.90,5.200,4.09751E-5,37,-32.39,5.200,-0.00219,304,8.60,5.200,-1.22431E-5,0,-0.61,5.200,-0.00205,188,-0.48,5.200,-0.00178,120,-29.40,5.200,0.00213,-1,44.78,5.200,0.00171,201,70.16,5.200,0.00386,155,-96.17,,,,
5.400,-0.00257,1409,27.94,5.400,-4.52843E-4,64,-12.60,5.400,-5.73075E-5,4,-12.95,5.400,-2.02217E-5,2,-0.30,5.400,-1.17185E-4,52,-32.96,5.400,-0.00217,312,10.89,5.400,-3.05412E-5,1,-0.31,5.400,-0.00206,194,-0.84,5.400,-0.00190,137,-23.64,5.400,0.00227,-2,49.90,5.400,0.00193,197,66.73,5.400,0.00391,195,16.44,,,,
5.600,-0.00247,1488,16.12,5.600,-4.74267E-4,67,-12.99,5.600,-1.21848E-4,7,-8.77,5.600,-3.83085E-5,3,0.60,5.600,-2.34368E-4,66,-23.24,5.600,-0.00212,331,13.52,5.600,0.00000,0,0.30,5.600,-0.00207,200,-0.34,5.600,-0.00198,151,-12.66,5.600,0.00247,-2,53.05,5.600,0.00214,195,65.86,5.600,0.00413,224,70.26,,,,
5.800,-0.00244,1552,-13.27,5.800,-5.31358E-4,73,-13.27,5.800,-1.18997E-4,7,-4.13,5.800,-2.02217E-5,2,1.81,5.800,-2.81787E-4,76,2.51,5.800,-0.00208,347,16.22,5.800,-1.83513E-5,1,-0.31,5.800,-0.00206,207,0.89,5.800,-0.00197,153,-2.66,5.800,0.00265,-2,52.44,5.800,0.00235,193,65.89,5.800,0.00441,240,90.47,,,,
6.000,-0.00252,1617,-46.44,6.000,-5.84014E-4,79,-11.45,6.000,-1.13917E-4,7,-3.62,6.000,-1.41752E-5,2,2.42,6.000,-2.59128E-4,81,28.69,6.000,-0.00202,365,19.15,6.000,-1.83513E-5,1,-1.22,6.000,-0.00206,215,1.76,6.000,-0.00197,158,0.41,6.000,0.00281,-1,52.60,6.000,0.00260,194,63.31,6.000,0.00476,255,97.76,,,,
6.200,-0.00279,1687,-101.86,6.200,-6.08489E-4,83,-8.12,6.200,-1.47885E-4,9,-6.57,6.200,-8.11995E-6,2,0.61,6.200,-4.21999E-5,75,43.13,6.200,-0.00195,387,23.72,6.200,-1.83513E-5,1,-0.61,6.200,-0.00205,221,2.45,6.200,-0.00197,164,-1.29,6.200,0.00299,-1,56.19,6.200,0.00279,188,60.24,6.200,0.00509,257,100.06,,,,
6.400,-0.00305,1725,-146.26,6.400,-6.26205E-4,86,-5.99,6.400,-1.65381E-4,11,-5.29,6.400,-2.05586E-6,2,0.61,6.400,9.98750E-5,74,39.71,6.400,-0.00186,411,27.11,6.400,-2.44507E-5,1,-0.91,6.400,-0.00204,225,3.37,6.400,-0.00197,170,-2.33,6.400,0.00319,-1,61.09,6.400,0.00297,186,59.22,6.400,0.00541,259,100.42,,,,
6.600,-0.00394,1801,-185.51,6.600,-6.51649E-4,91,-4.94,6.600,-1.98990E-4,13,-1.13,6.600,-2.02217E-5,2,1.21,6.600,2.21909E-4,74,26.65,6.600,-0.00175,441,28.64,6.600,-2.44507E-5,1,-0.91,6.600,-0.00203,235,4.54,6.600,-0.00199,179,-1.99,6.600,0.00339,-1,63.99,6.600,0.00318,184,62.43,6.600,0.00576,260,105.17,,,,
6.800,-0.00429,1822,-210.09,6.800,-6.60653E-4,93,-4.04,6.800,-1.68601E-4,12,1.12,6.800,1.00988E-5,1,0.91,6.800,2.70981E-4,78,16.45,6.800,-0.00167,464,27.74,6.800,-3.05412E-5,1,-0.30,6.800,-0.00201,248,7.00,6.800,-0.00199,186,-0.85,6.800,0.00362,-2,64.82,6.800,0.00338,182,66.76,6.800,0.00610,259,111.03,,,,
7.000,-0.00527,1869,-214.33,7.000,-6.72785E-4,97,-3.45,7.000,-1.67279E-4,13,0.67,7.000,4.01704E-6,1,-0.31,7.000,3.19606E-4,83,9.27,7.000,-0.00157,491,26.04,7.000,-3.05412E-5,1,0.61,7.000,-0.00199,261,10.61,7.000,-0.00199,192,-0.27,7.000,0.00384,-1,65.27,7.000,0.00362,181,71.68,7.000,0.00650,259,116.90,,,,
7.200,-0.00593,1894,-228.62,7.200,-6.85824E-4,100,-2.47,7.200,-1.74692E-4,13,-1.99,7.200,-8.11995E-6,2,-1.52,7.200,3.31201E-4,90,6.89,7.200,-0.00149,512,25.31,7.200,-2.44507E-5,1,0.61,7.200,-0.00194,282,13.44,7.200,-0.00199,203,-0.26,7.200,0.00405,-1,66.75,7.200,0.00387,176,76.57,7.200,0.00689,253,122.42,,,,
7.400,-0.00659,1916,-226.00,7.400,-6.95471E-4,103,-1.06,7.400,-1.79528E-4,14,-4.31,7.400,-8.11995E-6,2,-3.02,7.400,3.46996E-4,92,7.22,7.400,-0.00141,534,24.60,7.400,-1.83513E-5,1,-0.30,7.400,-0.00189,306,15.96,7.400,-0.00200,215,-0.37,7.400,0.00427,-2,68.04,7.400,0.00413,171,80.22,7.400,0.00731,253,126.52,,,,
